President,Party,Years,Start,End
 Theodore Roosevelt,Republican,1901-1909,1901,1909
 William Howard Taft,Republican,1909-1913,1909,1913
 Woodrow Wilson,Democrat,1913-1921,1913,1921
 Warren Gamaliel Harding,Republican,1921-1923,1921,1923
 Calvin Coolidge,Republican,1923-1929,1923,1929
 Herbert Clark Hoover,Republican,1929-1933,1929,1933
 Franklin Delano Roosevelt,Democrat,1933-1945,1933,1945
 Harry S Truman,Democrat,1945-1953,1945,1953
 Dwight David Eisenhower,Republican,1953-1961,1953,1961
 John Fitzgerald Kennedy,Democrat,1961-1963,1961,1963
 Lyndon Baines Johnson,Democrat,1963-1969,1963,1969
 Richard Milhous Nixon,Republican,1969-1974,1969,1974
 Gerald Rudolph Ford,Republican,1974-1977,1974,1977
 James Earl Carter,Democrat,1977-1981,1977,1981
 Ronald Wilson Reagan,Republican,1981-1989,1981,1989
 George Herbert Walker Bush,Republican,1989-1993,1989,1993
 William Jefferson Clinton,Democrat,1993-2001,1993,2001
 George Walker Bush,Republican,2001-2009,2001,2009
 Barack Hussein Obama,Democrat,2009-2011,2009,2011
